files_A,files_B,overlap,overlap_ratio,total_changed_lines_A,total_changed_lines_B,total_overlap_ranges,total_overlap_lines,same_file_line_overlap_ratio,max_file_overlap,same_file_churn,churn,conflict
466,1,1,0.002145922746781116,26159,303,1,51,0.0019272919658378052,51,2,10.183502809926877,0
79,1,1,0.012658227848101266,32114,198,1,198,0.006127754394652142,198,2,10.38322490501888,0
122,3,3,0.02459016393442623,4263,64,9,96,0.022186272244048996,29,28,8.372860820526318,0
42,1,1,0.023809523809523808,2442,2,0,0,0.0,0,6,7.801800401908973,0
4,3,3,0.75,33,16,6,44,0.8979591836734694,10,12,3.912023005428146,0
2,1,0,0.0,10,17,0,0,0.0,0,0,3.332204510175204,0
43,5,5,0.11627906976744186,1399,65,11,68,0.04644808743169399,12,44,7.289610521451167,1
35,3,3,0.08571428571428572,1364,10,4,27,0.019650655021834062,7,22,7.226209010100671,0
16,1,0,0.0,256,4,0,0,0.0,0,0,5.564520407322694,0
96,15,15,0.15625,3169,184,23,352,0.1049806143751864,59,46,8.117908942383155,1
147,1,1,0.006802721088435374,8755,0,1,164,0.018732153055396918,164,2,9.077494458642754,0
123,6,5,0.04032258064516129,7894,356,11,338,0.04096969696969697,104,44,9.018089684104343,1
67,67,67,1.0,3724,3724,169,4068,0.5461868958109559,526,338,8.915835074176277,0
43,1,0,0.0,4778,20,0,0,0.0,0,0,8.476162841858246,0
43,1,0,0.0,4778,2,0,0,0.0,0,0,8.472405008626103,0
135,1,0,0.0,10677,18,0,0,0.0,0,0,9.27762511878178,0
2,1,0,0.0,76,2,0,0,0.0,0,0,4.3694478524670215,0
2,103,2,0.019417475728155338,4,5529,2,14,0.0025302729080065064,7,4,8.618666160346871,0
8,2,0,0.0,120,4,0,0,0.0,0,0,4.8283137373023015,0
10,5,3,0.25,191,101,5,113,0.386986301369863,79,13,5.680172609017068,0
5,2,0,0.0,65,4,0,0,0.0,0,0,4.248495242049359,0
0,8,0,0.0,0,560,0,0,0.0,0,0,6.329720905522696,0
7,0,0,0.0,493,0,0,0,0.0,0,0,6.202535517187923,0
2,86,2,0.023255813953488372,8,6086,3,24,0.003938299967180834,9,6,8.715224041915372,0
1,10,0,0.0,4,38,0,0,0.0,0,0,3.7612001156935624,0
105,9,9,0.08571428571428572,6584,77,9,69,0.010358804984236601,14,18,8.804175018753625,0
75,1,0,0.0,2543,28,0,0,0.0,0,0,7.85243908535751,0
52,1,1,0.019230769230769232,1244,2,1,7,0.0056179775280898875,7,8,7.1284959456800365,0
23,2,2,0.08695652173913043,565,6,2,13,0.02276707530647986,7,4,6.349138991379798,0
116,2,0,0.0,4129,188,0,0,0.0,0,0,8.370547611074752,0
11,40,1,0.02,847,6794,1,8,0.0010469833791388562,8,2,8.941414628006845,0
1,4,0,0.0,111,109,0,0,0.0,0,0,5.3981627015177525,0
2,5,0,0.0,14,119757,0,0,0.0,0,0,11.693345214474586,0
1,132,1,0.007575757575757576,6,985,0,0,0.0,0,2,6.899723107284872,0
2,122,1,0.008130081300813009,12,831,1,1,0.0011862396204033216,1,2,6.738152494595957,0
6,3,0,0.0,107,18,0,0,0.0,0,0,4.836281906951478,0
2,23,0,0.0,12,288,0,0,0.0,0,0,5.707110264748875,0
2,28,0,0.0,3,364,0,0,0.0,0,0,5.908082938168931,0
80,1,0,0.0,507,2,0,0,0.0,0,0,6.234410725718371,0
0,101,0,0.0,0,6594,0,0,0.0,0,0,8.794067065151415,0
98,3,0,0.0,6572,31,0,0,0.0,0,0,8.795430805040018,0
80,1,0,0.0,5085,2,0,0,0.0,0,0,8.534640105019959,0
79,4,0,0.0,5072,106,0,0,0.0,0,0,8.552367266423891,0
76,1,0,0.0,5855,4,0,0,0.0,0,0,8.675904882571059,0
78,10,4,0.047619047619047616,7548,2952,67,1113,0.106,99,147,9.259225769705994,1
78,26,5,0.050505050505050504,5853,139,8,49,0.008177570093457943,7,34,8.698347400458186,1
76,46,1,0.008264462809917356,5642,2752,0,0,0.0,0,2,9.035391569511642,0
3,1,0,0.0,111,6,0,0,0.0,0,0,4.770684624465665,0
33,2,0,0.0,938,22,0,0,0.0,0,0,6.8679744089702925,0
19,113,0,0.0,470,113125,0,0,0.0,0,0,11.64040357338165,0
1,2,0,0.0,2,11,0,0,0.0,0,0,2.6390573296152584,0
2,70,0,0.0,13,485,0,0,0.0,0,0,6.212606095751519,0
0,95,0,0.0,0,4376,0,0,0.0,0,0,8.384118837190895,0
93,181,0,0.0,4361,136200,0,0,0.0,0,0,11.853403951558839,1
1,4,0,0.0,5,69,0,0,0.0,0,0,4.31748811353631,0
14,1,0,0.0,416,2,0,0,0.0,0,0,6.037870919922137,0
